CustomerID,Lookalikes
C0001,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0002,"[('C0092', 1.0), ('C0123', 1.0), ('C0115', 1.0)]"
C0003,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0004,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0005,"[('C0092', 1.0), ('C0123', 1.0), ('C0115', 1.0)]"
C0006,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0007,"[('C0092', 1.0), ('C0123', 1.0), ('C0115', 1.0)]"
C0008,"[('C0033', 1.0), ('C0035', 1.0), ('C0036', 1.0)]"
C0009,"[('C0132', 1.0), ('C0037', 1.0), ('C0075', 1.0)]"
C0010,"[('C0132', 1.0), ('C0037', 1.0), ('C0075', 1.0)]"
C0011,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0012,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0013,"[('C0099', 1.0), ('C0174', 1.0), ('C0076', 1.0)]"
C0014,"[('C0132', 1.0), ('C0037', 1.0), ('C0075', 1.0)]"
C0015,"[('C0033', 1.0), ('C0035', 1.0), ('C0036', 1.0)]"
C0016,"[('C0033', 1.0), ('C0035', 1.0), ('C0036', 1.0)]"
C0017,"[('C0132', 1.0), ('C0037', 1.0), ('C0075', 1.0)]"
C0018,"[('C0033', 1.0), ('C0035', 1.0), ('C0036', 1.0)]"
C0019,"[('C0132', 1.0), ('C0037', 1.0), ('C0075', 1.0)]"
C0020,"[('C0033', 1.0), ('C0035', 1.0), ('C0036', 1.0)]"
